Trial,Model,Train,Test
5,AdamW,1.0,0.9423076923076923
5,Adagrad,1.0,0.9423076923076923
5,Adadelta,1.0,0.9423076923076923
5,SGD,1.0,0.9423076923076923
5,Nadam,1.0,0.8846153846153846
5,Adafactor,1.0,0.9230769230769231
5,Adamax,1.0,0.9230769230769231
5,LossScaleOptimizer(Adam),1.0,0.9230769230769231
6,RMSprop,1.0,0.9423076923076923
6,Adam,1.0,0.9423076923076923
6,AdamW,0.9901960784313726,0.9038461538461539
6,Adagrad,1.0,0.9423076923076923
6,Adadelta,1.0,0.9423076923076923
6,SGD,1.0,0.9423076923076923
6,Nadam,1.0,0.9230769230769231
6,Adafactor,1.0,0.9423076923076923
6,Adamax,1.0,0.9423076923076923
6,LossScaleOptimizer(Adam),1.0,0.9230769230769231
7,RMSprop,1.0,0.9423076923076923
7,Adam,1.0,0.9423076923076923
7,AdamW,1.0,0.9423076923076923
7,Adagrad,1.0,0.9423076923076923
7,Adadelta,1.0,0.9423076923076923
7,SGD,1.0,0.9423076923076923
7,Nadam,0.9950980392156863,0.9230769230769231
7,Adafactor,1.0,0.9423076923076923
7,Adamax,1.0,0.9423076923076923
7,LossScaleOptimizer(Adam),1.0,0.9423076923076923
8,RMSprop,1.0,0.9230769230769231
8,Adam,1.0,0.9423076923076923
8,AdamW,0.9705882352941176,0.8846153846153846
8,Adagrad,1.0,0.9038461538461539
8,Adadelta,1.0,0.9038461538461539
8,SGD,1.0,0.9230769230769231
8,Nadam,1.0,0.8846153846153846
8,Adafactor,1.0,0.9423076923076923
8,Adamax,1.0,0.9423076923076923
8,LossScaleOptimizer(Adam),1.0,0.9423076923076923
9,RMSprop,1.0,0.9423076923076923
9,Adam,1.0,0.9230769230769231
9,AdamW,1.0,0.9230769230769231
9,Adagrad,1.0,0.9038461538461539
9,Adadelta,1.0,0.9038461538461539
9,SGD,1.0,0.9038461538461539
9,Nadam,1.0,0.9230769230769231
9,Adafactor,1.0,0.9230769230769231
9,Adamax,1.0,0.9038461538461539
9,LossScaleOptimizer(Adam),1.0,0.9230769230769231
10,RMSprop,1.0,0.9230769230769231
10,Adam,1.0,0.9038461538461539
10,AdamW,1.0,0.9038461538461539
10,Adagrad,1.0,0.9038461538461539
10,Adadelta,1.0,0.9038461538461539
10,SGD,1.0,0.9038461538461539
10,Nadam,1.0,0.9038461538461539
10,Adafactor,1.0,0.9038461538461539
10,Adamax,1.0,0.9038461538461539
10,LossScaleOptimizer(Adam),1.0,0.9038461538461539
11,RMSprop,1.0,0.9038461538461539
11,Adam,1.0,0.9038461538461539
11,AdamW,1.0,0.9230769230769231
11,Adagrad,1.0,0.9230769230769231
11,Adadelta,1.0,0.9230769230769231
11,SGD,1.0,0.9230769230769231
11,Nadam,1.0,0.9230769230769231
11,Adafactor,1.0,0.9038461538461539
11,Adamax,1.0,0.9038461538461539
11,LossScaleOptimizer(Adam),1.0,0.9038461538461539
12,RMSprop,1.0,0.9038461538461539
12,Adam,1.0,0.9230769230769231
12,AdamW,1.0,0.9230769230769231
12,Adagrad,1.0,0.9423076923076923
12,Adadelta,1.0,0.9423076923076923
12,SGD,1.0,0.9423076923076923
12,Nadam,1.0,0.9038461538461539
12,Adafactor,1.0,0.9230769230769231
12,Adamax,1.0,0.9230769230769231
12,LossScaleOptimizer(Adam),1.0,0.9230769230769231
13,RMSprop,1.0,0.9230769230769231
13,Adam,1.0,0.9038461538461539
13,AdamW,1.0,0.9038461538461539
13,Adagrad,1.0,0.9038461538461539
13,Adadelta,1.0,0.9038461538461539
13,SGD,1.0,0.9038461538461539
13,Nadam,1.0,0.9038461538461539
13,Adafactor,1.0,0.8653846153846154
13,Adamax,1.0,0.9038461538461539
13,LossScaleOptimizer(Adam),1.0,0.8846153846153846
14,RMSprop,1.0,0.9038461538461539
14,Adam,1.0,0.9038461538461539
14,AdamW,1.0,0.9038461538461539
14,Adagrad,1.0,0.9038461538461539
14,Adadelta,1.0,0.9038461538461539
14,SGD,1.0,0.9038461538461539
14,Nadam,1.0,0.9423076923076923
14,Adafactor,1.0,0.9038461538461539
14,Adamax,1.0,0.9230769230769231
14,LossScaleOptimizer(Adam),1.0,0.8846153846153846
15,RMSprop,1.0,0.9230769230769231
15,Adam,1.0,0.8846153846153846
15,AdamW,1.0,0.8846153846153846
15,Adagrad,1.0,0.8846153846153846
15,Adadelta,1.0,0.8846153846153846
15,SGD,1.0,0.8653846153846154
15,Nadam,1.0,0.9230769230769231
15,Adafactor,1.0,0.9038461538461539
15,Adamax,1.0,0.9423076923076923
15,LossScaleOptimizer(Adam),1.0,0.8653846153846154
16,RMSprop,1.0,0.9230769230769231
16,Adam,0.9901960784313726,0.8653846153846154
16,AdamW,1.0,0.8846153846153846
16,Adagrad,1.0,0.8846153846153846
16,Adadelta,1.0,0.8846153846153846
16,SGD,1.0,0.8846153846153846
16,Nadam,1.0,0.8846153846153846

