newcatc,newcat,velocity,weightpercentw,diametermm,thicknessmm,heightin,craterdiameterfromouteredgesmm,whenbreakupstartsframe,breakuplocation,inflectionpoint,retraction,category,comments,craterdiameterfromouteredgesmmno,rownum,blocknum,pcat1,pcat2,pcat3,pcat4,pcat5,pcatmax,rho,sigma,nu,pi1,pi2,pi3,pi4,pi5,pi6,lpi1,lpi2,lpi3,lpi4,lpi5,_clus_2,splash,predsplash,issplash,newcat1,aaa1,aaa2,aaa3,aaa4,aaa5
Splash,Splash,6.3534391,0.15,0.02,0.0005,81,59,59,T,N,N,DIS,,70.8,25,9,1.39E-07,4.99E-06,0.0005432,0.00103388,0.9984178,0.9984178,1000.3,33,0.49,1223.584796,5.50E+01,0.034370991,0.025,6.450856269,258.0342507,7.1092402,19.655009,-3.3708422,-3.6888794,1.863913,2,1,1,1,Splash,0.09501247,0.16134636,0.36010845,0.08089632,0.30263641
Splash,Splash,6.3534391,0.15,0.02,0.0015,81,69.7,90,M,N,N,DIS,,83.6,26,10,4.51E-07,0.00001614,0.00175571,0.00332993,0.99489776,0.99489776,1000.3,33,0.49,1223.584796,5.50E+01,0.309338921,0.075,19.15064078,255.3418771,7.1092402,19.655009,-1.1736177,-2.5902671,2.9520362,2,1,0.9999997,1,Splash,0.06369991,0.11890162,0.32758217,0.08872858,0.40108773
Splash,Splash,6.3534391,0.15,0.02,0.003,81,70.8,115,M,N,N,DIS,,85,27,11,2.62E-06,0.00009398,0.01013382,0.0187601,0.97100947,0.97100947,1000.3,33,0.49,1223.584796,5.50E+01,1.237355685,0.15,37.71105611,251.4070407,7.1092402,19.655009,0.21267665,-1.89712,3.6296534,2,1,0.9996787,1,Splash,0.03483088,0.0711123,0.24993357,0.08610796,0.55801529
Splash,Splash,6.3534391,0.15,0.02,0.004,81,76.7,145,M,N,N,Ring,,92,28,12,8.49E-06,0.00030407,0.03205453,0.05573982,0.91189309,0.91189309,1000.3,33,0.49,1223.584796,5.50E+01,2.19974344,0.2,49.77010097,248.8505048,7.1092402,19.655009,0.78804088,-1.6094378,3.9071145,2,1,0.9583931,1,Splash,0.02334501,0.04943039,0.19513368,0.07619397,0.65589696
Splash,Splash,6.3534391,0.15,0.025,0.0005,81,71.4,74,T,N,N,DIS,,85.7,29,13,3.95E-08,1.41E-06,0.00015404,0.00029351,0.999551,0.999551,1000.3,33,0.49,1223.584796,8.59E+01,0.034370991,0.02,6.450856269,322.5428134,7.1092402,19.208721,-3.3708422,-3.912023,1.863913,2,1,1,1,Splash,0.09501247,0.16134636,0.36010845,0.08089632,0.30263641
Splash,Splash,6.3534391,0.15,0.025,0.0015,81,80.2,85,M,N,N,DIS,,96.2,30,14,1.28E-07,4.58E-06,0.00049831,0.00094857,0.99854841,0.99854841,1000.3,33,0.49,1223.584796,8.59E+01,0.309338921,0.06,19.15064078,319.1773463,7.1092402,19.208721,-1.1736177,-2.8134107,2.9520362,2,1,1,1,Splash,0.06369991,0.11890162,0.32758217,0.08872858,0.40108773
Splash,Splash,6.3534391,0.15,0.025,0.003,81,75.5,98,M,Y,N,SD,Horrible test,90.6,31,15,7.44E-07,0.00002664,0.00289395,0.00547065,0.99160802,0.99160802,1000.3,33,0.49,1223.584796,8.59E+01,1.237355685,0.12,37.71105611,314.2588009,7.1092402,19.208721,0.21267665,-2.1202635,3.6296534,2,1,0.9999974,1,Splash,0.03483088,0.0711123,0.24993357,0.08610796,0.55801529
Splash,Splash,6.3534391,0.15,0.025,0.004,81,82.7,107,M,Y,N,SD,"Horrible Test, Droplet on Edge",99.2,32,16,2.41E-06,0.00008621,0.009304,0.01726514,0.97334225,0.97334225,1000.3,33,0.49,1223.584796,8.59E+01,2.19974344,0.16,49.77010097,311.063131,7.1092402,19.208721,0.78804088,-1.8325814,3.9071145,2,1,0.999639,1,Splash,0.02334501,0.04943039,0.19513368,0.07619397,0.65589696
Splash,Splash,6.3534391,0.25,0.01,0.0005,81,30.7,55,M,N,N,DIS,,36.8,33,1,4.34E-06,0.00015532,0.01663694,0.03022878,0.95297463,0.95297463,1000.5,64,0.96,631.0370546,6.95E+00,0.017369792,0.05,3.293458269,65.86916539,6.4468647,20.358623,-4.0535225,-2.9957322,1.1914383,1,1,0.7023231,1,Splash,0.10470278,0.17275691,0.36417431,0.0780022,0.28036379
Broken Sheet,Broken Sheet,6.3534391,0.25,0.01,0.0015,81,33.1,68,M,N,Sheet,Stick,,39.7,34,2,0.00001403,0.00050246,0.05187266,0.08531324,0.86229761,0.86229761,1000.5,64,0.96,631.0370546,6.95E+00,0.156328125,0.15,9.778306493,65.18870996,6.4468647,20.358623,-1.856298,-1.89712,2.2796664,1,0,0.2239932,0,Broken or Intact Sheet,0.08568355,0.14962345,0.35397001,0.08358802,0.32713497
Intact Sheet,Intact Sheet,6.3534391,0.25,0.01,0.003,81,37.8,N,N,N,N,Stuck,,45.3,35,3,0.00008166,0.0029177,0.24048848,0.23829202,0.51822015,0.51822015,1000.5,64,0.96,631.0370546,6.95E+00,0.6253125,0.3,19.25819543,64.19398476,6.4468647,20.358623,-0.47000361,-1.2039728,2.9574368,1,0,0.0097592,0,Broken or Intact Sheet,0.06348894,0.11858441,0.32722501,0.0887626,0.40193903
Intact Sheet,Intact Sheet,6.3534391,0.25,0.01,0.004,81,46.1,N,N,N,N,Stuck,,55.3,36,4,0.00026423,0.00937758,0.50054269,0.24035326,0.24946224,0.50054269,1000.5,64,0.96,631.0370546,6.95E+00,1.111666667,0.4,25.41901199,63.54752998,6.4468647,20.358623,0.10536061,-0.91629066,3.2349976,1,0,0.0008899,0,Broken or Intact Sheet,0.05206888,0.10073436,0.30399944,0.08980497,0.45339234
Splash,Splash,6.3534391,0.25,0.015,0.0005,81,40.8,56,M,N,N,DIS,,48.9,37,5,1.23E-06,0.00004403,0.00477391,0.00897547,0.98620536,0.98620536,1000.5,64,0.96,631.0370546,1.56E+01,0.017369792,0.033333333,3.293458269,98.80374808,6.4468647,19.547693,-4.0535225,-3.4011973,1.1914383,2,1,0.9784958,1,Splash,0.10470278,0.17275691,0.36417431,0.0780022,0.28036379
Splash,Splash,6.3534391,0.25,0.015,0.0015,81,45.4,71,M,N,N,SD,,54.5,38,6,3.98E-06,0.00014248,0.01528298,0.02787668,0.95669388,0.95669388,1000.5,64,0.96,631.0370546,1.56E+01,0.156328125,0.1,9.778306493,97.78306493,6.4468647,19.547693,-1.856298,-2.3025851,2.2796664,2,1,0.8416548,1,Splash,0.08568355,0.14962345,0.35397001,0.08358802,0.32713497
Intact Sheet,Intact Sheet,6.3534391,0.25,0.015,0.003,81,48.9,N,N,N,N,Stick,Castle,58.7,39,7,0.00002315,0.00082888,0.08275363,0.12495938,0.79143496,0.79143496,1000.5,64,0.96,631.0370546,1.56E+01,0.6253125,0.2,19.25819543,96.29097714,6.4468647,19.547693,-0.47000361,-1.6094379,2.9574368,2,0,0.1449224,0,Broken or Intact Sheet,0.06348894,0.11858441,0.32722501,0.0887626,0.40193903
Intact Sheet,Intact Sheet,6.3534391,0.25,0.015,0.004,81,53.7,N,N,Y,N,Stuck,,64.4,40,8,0.00007491,0.00267717,0.22519488,0.23233651,0.53971653,0.53971653,1000.5,64,0.96,631.0370546,1.56E+01,1.111666667,0.266666667,25.41901199,95.32129498,6.4468647,19.547693,0.10536061,-1.3217558,3.2349976,2,0,0.0144323,0,Broken or Intact Sheet,0.05206888,0.10073436,0.30399944,0.08980497,0.45339234
Splash,Splash,6.3534391,0.25,0.02,0.0005,81,50.1,60,M,N,N,DIS,,60.1,41,9,3.48E-07,0.00001248,0.00135794,0.00257849,0.99605074,0.99605074,1000.5,64,0.96,631.0370546,2.78E+01,0.017369792,0.025,3.293458269,131.7383308,6.4468647,18.972328,-4.0535225,-3.6888794,1.1914383,3,1,0.9984254,1,Splash,0.10470278,0.17275691,0.36417431,0.0780022,0.28036379
Splash,Splash,6.3534391,0.25,0.02,0.0015,81,59,78,M,N,N,SD,,70.8,42,10,1.13E-06,0.00004039,0.00438101,0.00824615,0.98733133,0.98733133,1000.5,64,0.96,631.0370546,2.78E+01,0.156328125,0.075,9.778306493,130.3774199,6.4468647,18.972328,-1.856298,-2.5902671,2.2796664,3,1,0.9862,1,Splash,0.08568355,0.14962345,0.35397001,0.08358802,0.32713497
Splash,Splash,6.3534391,0.25,0.02,0.003,81,63.2,97,M,N,N,Ring,,75.8,43,11,6.56E-06,0.0002351,0.0249674,0.04429835,0.93049258,0.93049258,1000.5,64,0.96,631.0370546,2.78E+01,0.6253125,0.15,19.25819543,128.3879695,6.4468647,18.972328,-0.47000361,-1.89712,2.9574368,3,1,0.6836966,1,Splash,0.06348894,0.11858441,0.32722501,0.0887626,0.40193903
Intact Sheet,Intact Sheet,6.3534391,0.25,0.02,0.004,81,70.2,N,N,Y,N,Stick,,84.2,44,12,0.00002124,0.00076041,0.07644606,0.11745184,0.80532045,0.80532045,1000.5,64,0.96,631.0370546,2.78E+01,1.111666667,0.2,25.41901199,127.09506,6.4468647,18.972328,0.10536061,-1.6094378,3.2349976,3,0,0.152838,0,Broken or Intact Sheet,0.05206888,0.10073436,0.30399944,0.08980497,0.45339234
Splash,Splash,6.3534391,0.25,0.025,0.0005,81,63.8,55,M,N,N,DIS,,76.5,45,13,9.87E-08,3.54E-06,0.00038531,0.00073369,0.99887736,0.99887736,1000.5,64,0.96,631.0370546,4.34E+01,0.017369792,0.02,3.293458269,164.6729135,6.4468647,18.526041,-4.0535225,-3.912023,1.1914383,3,1,0.9998758,1,Splash,0.10470278,0.17275691,0.36417431,0.0780022,0.28036379
Splash,Splash,6.3534391,0.25,0.025,0.0015,81,70.8,76,M,N,N,SD,,85,46,14,3.20E-07,0.00001145,0.00124583,0.00236637,0.99637604,0.99637604,1000.5,64,0.96,631.0370546,4.34E+01,0.156328125,0.06,9.778306493,162.9717749,6.4468647,18.526041,-1.856298,-2.8134107,2.2796664,3,1,0.9988633,1,Splash,0.08568355,0.14962345,0.35397001,0.08358802,0.32713497
Splash,Splash,6.3534391,0.25,0.025,0.003,81,75.3,88,M,N,N,Ring,,90.4,47,15,1.86E-06,0.00006665,0.0072087,0.01345808,0.9792647,0.9792647,1000.5,64,0.96,631.0370546,4.34E+01,0.6253125,0.12,19.25819543,160.4849619,6.4468647,18.526041,-0.47000361,-2.1202635,2.9574368,3,1,0.9620799,1,Splash,0.06348894,0.11858441,0.32722501,0.0887626,0.40193903
Splash,Splash,6.3534391,0.25,0.025,0.004,81,79.7,94,M,Y,N,SD,,95.6,48,16,6.02E-06,0.00021567,0.02295162,0.04095639,0.9358703,0.9358703,1000.5,64,0.96,631.0370546,4.34E+01,1.111666667,0.16,25.41901199,158.868825,6.4468647,18.526041,0.10536061,-1.8325814,3.2349976,3,1,0.672582,1,Splash,0.05206888,0.10073436,0.30399944,0.08980497,0.45339234
Intact Sheet,Intact Sheet,6.3534391,1,0.01,0.0005,81,30.1,N,N,N,N,Stuck,,36.1,49,1,0.00419081,0.13002435,0.80891874,0.03641884,0.02044725,0.80891874,1002,106,2.1,381.5747243,2.41E+00,0.006021088,0.05,1.509751777,30.19503554,5.9423087,19.29766,-5.1144851,-2.9957322,0.40994729,2,0,0.0699723,0,Broken or Intact Sheet,0.11056022,0.17929261,0.36568277,0.07624126,0.26822315
Intact Sheet,Intact Sheet,6.3534391,1,0.01,0.0015,81,33,N,N,N,N,Stuck,,39.6,50,2,0.01343633,0.32064191,0.64763109,0.0118818,0.00640887,0.64763109,1002,106,2.1,381.5747243,2.41E+00,0.054189796,0.15,4.493695509,29.95797006,5.9423087,19.29766,-2.9172606,-1.89712,1.5006774,2,0,0.0294634,0,Broken or Intact Sheet,0.10094271,0.16841945,0.36284555,0.07913089,0.28866139
Crater,Crater,6.3534391,1,0.01,0.003,81,33.1,N,N,N,Y,Stuck,Fill back,39.7,51,3,0.07346295,0.67147535,0.25187157,0.0020834,0.00110673,0.67147535,1002,106,2.1,381.5747243,2.41E+00,0.216759184,0.3,8.882781066,29.60927022,5.9423087,19.29766,-1.5309663,-1.2039728,2.1821167,2,0,0.0071458,0,Crater,0.08814678,0.15279135,0.35583018,0.08289222,0.32033947
Crater,Crater,6.3534391,1,0.01,0.004,81,29.5,N,N,N,Y,Stuck,Fill back,35.4,52,4,0.20419518,0.7001263,0.09469057,0.0006457,0.00034225,0.7001263,1002,106,2.1,381.5747243,2.41E+00,0.38534966,0.4,11.75251146,29.38127865,5.9423087,19.29766,-0.95560206,-0.91629066,2.462069,2,0,0.0026092,0,Crater,0.0805911,0.14290456,0.34951629,0.084977,0.34201106
Intact Sheet,Intact Sheet,6.3534391,1,0.015,0.0005,81,37.9,N,N,N,Y,Stuck,,45.5,53,5,0.00119151,0.04090122,0.78250667,0.10681132,0.06858929,0.78250667,1002,106,2.1,381.5747243,5.42E+00,0.006021088,0.033333333,1.509751777,45.29255332,5.9423087,18.48673,-5.1144851,-3.4011973,0.40994729,3,0,0.2150306,0,Broken or Intact Sheet,0.11056022,0.17929261,0.36568277,0.07624126,0.26822315
Intact Sheet,Intact Sheet,6.3534391,1,0.015,0.0015,81,47.2,N,N,N,N,Stuck,,56.6,54,6,0.00384569,0.12065525,0.81382422,0.03942587,0.02224898,0.81382422,1002,106,2.1,381.5747243,5.42E+00,0.054189796,0.1,4.493695509,44.93695509,5.9423087,18.48673,-2.9172606,-2.3025851,1.5006774,3,0,0.0969038,0,Broken or Intact Sheet,0.10094271,0.16841945,0.36284555,0.07913089,0.28866139
