        Weight Percent (W.%),Height (in),Thickness (mm),Diameter (mm),Crater Diameter From Outer Edges (mm),When Breakup Starts (Frame),Breakup Location,Inflection Point?,Retraction?,Category,Comments,,,,,,,Crater Diameter From Outer Edges (mm) (not corrected)
1.00,81.0,1.5,15.0,47.2,N,N,N,N,Stuck,,,,,,,,56.60
1.00,81.0,1.5,20.0,68.4,N,N,N,Y,Stuck,Sheet retraction,,,,,,,82.10
1.00,81.0,1.5,25.0,82.6,N,N,Y,Y,Stuck,Sheet retraction,,,,,,,99.10
1.00,81.0,3.0,10.0,33.1,N,N,N,Y,Stuck,Fill back,,,,,,,39.70
1.00,81.0,3.0,15.0,45.4,N,N,N,N,Stuck,,,,,,,,54.50
1.00,81.0,3.0,20.0,61.9,N,N,N,N,Stuck,,,,,,,,74.30
1.00,81.0,3.0,25.0,88.7,N,N,Y,N,Stuck,,,,,,,,106.40
1.00,81.0,4.0,10.0,29.5,N,N,N,Y,Stuck,Fill back,,,,,,,35.40
1.00,81.0,4.0,15.0,49.6,N,N,N,N,Stuck,,,,,,,,59.50
1.00,81.0,4.0,20.0,61.9,N,N,N,N,Stuck,,,,,,,,74.30
1.00,81.0,4.0,25.0,90.8,N,N,N,N,Stuck,,,,,,,,109
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
