newcatc,newcat,velocity,weightpercentw,diametermm,thicknessmm,heightin,craterdiameterfromouteredgesmm,whenbreakupstartsframe,breakuplocation,inflectionpoint,retraction,category,comments,craterdiameterfromouteredgesmmno,rownum,blocknum,pcat1,pcat2,pcat3,pcat4,pcat5,pcatmax,rho,sigma_y,nu,sigma_i,sigma_f,sigma_v,pi1,pi2,pi3,pi4,pi5,pi6,pi7,pi8,,,,_clus_2,splash,predsplash,issplash,newcat1,aaa1,aaa2,aaa3,aaa4,aaa5
Splash,Splash,6.35,0.15,0.02,0.00,81,56.70,91,M,N,N,SD,,68,23,7,0.000009,0.00,0.03,0.06,0.90,0.90,"1,000.30",33,0.49,"40,378.30","1,070.73","1,037.73",1052.7633400367200000000000000,988.8707105619690000000000000,1223.5847955735800000000000000,30.9338921282799000000000000,1.2373556851312000000000000,0.0000000246868352158929000,216.4121293775230000000000000,0.1616350111801480000000000,,,,1,1,0.95,1,Splash,0.03,0.07,0.25,0.09,0.56
Splash,Splash,6.35,0.15,0.02,0.00,81,60.80,142,M,N,N,Ring,Droplet on Edge,72.90,24,8,0.00,0.00,0.10,0.15,0.75,0.75,"1,000.30",33,0.49,"40,378.30",811.30,778.30,604.4092467971680000000000000,556.2397746911070000000000000,1223.5847955735800000000000000,30.9338921282799000000000000,2.1997434402332400000000000,0.0000000573328865820417000,288.5495058366970000000000000,0.1212262583851110000000000,,,,1,1,0.14,0,Splash,0.02,0.05,0.20,0.08,0.66
Splash,Splash,6.35,0.15,0.02,0.00,81,59,59,T,N,N,DIS,,70.80,25,9,0.000000,0.000005,0.00,0.00,1.00,1.00,"1,000.30",33,0.49,"40,378.30","6,259.37","6,226.37",35977.7013570793000000000000000,35599.3455802309000000000000000,1223.5847955735800000000000000,54.9935860058309000000000000,0.0343709912536443000000000,0.0000000001203958475967940,48.0915843061162000000000000,0.7273575503106640000000000,,,,2,1,1,1,Splash,0.10,0.16,0.36,0.08,0.30
Splash,Splash,6.35,0.15,0.02,0.00,81,69.70,90,M,N,N,DIS,,83.60,26,10,0.000000,0.00,0.00,0.00,0.99,0.99,"1,000.30",33,0.49,"40,378.30","2,108.46","2,075.46",4082.2681011973700000000000000,3955.4828422478700000000000000,1223.5847955735800000000000000,54.9935860058309000000000000,0.3093389212827990000000000,0.0000000031832053226975100,144.2747529183490000000000000,0.2424525167702210000000000,,,,2,1,1.00,1,Splash,0.06,0.12,0.33,0.09,0.40
Splash,Splash,6.35,0.15,0.02,0.00,81,70.80,115,M,N,N,DIS,,85,27,11,0.000003,0.00,0.01,0.02,0.97,0.97,"1,000.30",33,0.49,"40,378.30","1,070.73","1,037.73",1052.7633400367200000000000000,988.8707105619690000000000000,1223.5847955735800000000000000,54.9935860058309000000000000,1.2373556851312000000000000,0.0000000246868352158929000,288.5495058366970000000000000,0.1212262583851110000000000,,,,2,1,1.00,1,Splash,0.03,0.07,0.25,0.09,0.56
Splash,Splash,6.35,0.15,0.02,0.00,81,76.70,145,M,N,N,Ring,,92,28,12,0.000008,0.00,0.03,0.06,0.91,0.91,"1,000.30",33,0.49,"40,378.30",811.30,778.30,604.4092467971680000000000000,556.2397746911070000000000000,1223.5847955735800000000000000,54.9935860058309000000000000,2.1997434402332400000000000,0.0000000573328865820417000,384.7326744489300000000000000,0.0909196937888330000000000,,,,2,1,0.96,1,Splash,0.02,0.05,0.20,0.08,0.66
Splash,Splash,6.35,0.15,0.03,0.00,81,71.40,74,T,N,N,DIS,,85.70,29,13,0.000000,0.000001,0.00,0.00,1.00,1.00,"1,000.30",33,0.49,"40,378.30","6,259.37","6,226.37",35977.7013570793000000000000000,35599.3455802309000000000000000,1223.5847955735800000000000000,85.9274781341108000000000000,0.0343709912536443000000000,0.0000000001203958475967940,60.1144803826453000000000000,0.5818860402485320000000000,,,,2,1,1,1,Splash,0.10,0.16,0.36,0.08,0.30
Splash,Splash,6.35,0.15,0.03,0.00,81,80.20,85,M,N,N,DIS,,96.20,30,14,0.000000,0.000005,0.00,0.00,1.00,1.00,"1,000.30",33,0.49,"40,378.30","2,108.46","2,075.46",4082.2681011973700000000000000,3955.4828422478700000000000000,1223.5847955735800000000000000,85.9274781341108000000000000,0.3093389212827990000000000,0.0000000031832053226975100,180.3434411479360000000000000,0.1939620134161770000000000,,,,2,1,1,1,Splash,0.06,0.12,0.33,0.09,0.40
Splash,Splash,6.35,0.15,0.03,0.00,81,75.50,98,M,Y,N,SD,Horrible test,90.60,31,15,0.000001,0.00,0.00,0.01,0.99,0.99,"1,000.30",33,0.49,"40,378.30","1,070.73","1,037.73",1052.7633400367200000000000000,988.8707105619690000000000000,1223.5847955735800000000000000,85.9274781341108000000000000,1.2373556851312000000000000,0.0000000246868352158929000,360.6868822958720000000000000,0.0969810067080886000000000,,,,2,1,1.00,1,Splash,0.03,0.07,0.25,0.09,0.56
Splash,Splash,6.35,0.15,0.03,0.00,81,82.70,107,M,Y,N,SD,"Horrible Test, Droplet on Edge",99.20,32,16,0.000002,0.00,0.01,0.02,0.97,0.97,"1,000.30",33,0.49,"40,378.30",811.30,778.30,604.4092467971680000000000000,556.2397746911070000000000000,1223.5847955735800000000000000,85.9274781341108000000000000,2.1997434402332400000000000,0.0000000573328865820417000,480.9158430611620000000000000,0.0727357550310664000000000,,,,2,1,1.00,1,Splash,0.02,0.05,0.20,0.08,0.66
